LinkText,URL
"The Holocaust","https://en.wikipedia.org/wiki/The_Holocaust"
"Israel","https://en.wikipedia.org/wiki/History_of_Israel"
"Arab–Israeli conflict","https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict"
"Communities","https://en.wikipedia.org/wiki/Jewish_ethnic_divisions"
"Ashkenazim","https://en.wikipedia.org/wiki/Ashkenazi_Jews"
"Galician","https://en.wikipedia.org/wiki/Galician_Jews"
"Litvak","https://en.wikipedia.org/wiki/Litvaks"
"Mizrahim","https://en.wikipedia.org/wiki/Mizrahi_Jews"
"Sephardim","https://en.wikipedia.org/wiki/Sephardic_Jews"
"Teimanim","https://en.wikipedia.org/wiki/Yemenite_Jews"
"Beta Israel","https://en.wikipedia.org/wiki/Beta_Israel"
"Gruzinim","https://en.wikipedia.org/wiki/Georgian_Jews"
"Juhurim","https://en.wikipedia.org/wiki/Mountain_Jews"
"Bukharim","https://en.wikipedia.org/wiki/Bukharan_Jews"
"Italkim","https://en.wikipedia.org/wiki/Italian_Jews"
"Romanyotim","https://en.wikipedia.org/wiki/Romaniote_Jews"
"Cochinim","https://en.wikipedia.org/wiki/Cochin_Jews"
"Bene Israel","https://en.wikipedia.org/wiki/Bene_Israel"
"Berber","https://en.wikipedia.org/wiki/Berber_Jews"
"Crimean Karaites","https://en.wikipedia.org/wiki/Crimean_Karaites"
"Krymchaks","https://en.wikipedia.org/wiki/Krymchaks"
"Kaifeng Jews","https://en.wikipedia.org/wiki/Kaifeng_Jews"
"Bnei Anusim","https://en.wikipedia.org/wiki/Sephardic_Bnei_Anusim"
"Lemba","https://en.wikipedia.org/wiki/Lemba_people"
"Igbo Jews","https://en.wikipedia.org/wiki/Igbo_Jews"
"Samaritans","https://en.wikipedia.org/wiki/Samaritans"
"Crypto-Jews","https://en.wikipedia.org/wiki/Crypto-Judaism"
"Anusim","https://en.wikipedia.org/wiki/Anusim"
"Dönmeh","https://en.wikipedia.org/wiki/D%C3%B6nmeh"
"Marranos","https://en.wikipedia.org/wiki/Marrano"
"Neofiti","https://en.wikipedia.org/wiki/Neofiti"
"Xueta","https://en.wikipedia.org/wiki/Xueta"
"Mosaic Arabs","https://en.wikipedia.org/wiki/Jewish_tribes_of_Arabia"
"Subbotniks","https://en.wikipedia.org/wiki/Subbotniks"
"Noahides","https://en.wikipedia.org/wiki/Noahidism"
"Population","https://en.wikipedia.org/wiki/Jewish_population_by_country"
"Judaism by country","https://en.wikipedia.org/wiki/Judaism_by_country"
"Lists of Jews","https://en.wikipedia.org/wiki/Lists_of_Jews"
"Diaspora","https://en.wikipedia.org/wiki/Jewish_diaspora"
"Historical population by country","https://en.wikipedia.org/wiki/Historical_Jewish_population_by_country"
"Population by city","https://en.wikipedia.org/wiki/Jewish_population_by_city"
"Genetic studies","https://en.wikipedia.org/wiki/Genetic_studies_of_Jews"
"Israel","https://en.wikipedia.org/wiki/History_of_the_Jews_and_Judaism_in_the_Land_of_Israel"
"Palestine","https://en.wikipedia.org/wiki/Demographic_history_of_Palestine_(region)"
"Old Yishuv","https://en.wikipedia.org/wiki/Old_Yishuv"
"New Yishuv","https://en.wikipedia.org/wiki/Yishuv"
"Israeli Jews","https://en.wikipedia.org/wiki/Israeli_Jews"
"Palestinian Jews","https://en.wikipedia.org/wiki/Palestinian_Jews"
"Africa","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Africa"
"Algeria","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Algeria"
"Angola","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Angola"
"Bilad-el-Sudan","https://en.wikipedia.org/wiki/Jews_of_Bilad_el-Sudan"
"Botswana","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Botswana"
"Cameroon","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Cameroon"
"Cape Verde","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Cape_Verde"
"Benin","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Benin"
"Democratic Republic of the Congo","https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Democratic_Republic_of_the_Congo"
"Djibouti","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Djibouti"
"Egypt","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Egypt"
"Ethiopia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Ethiopia"
"Beta Israel","https://en.wikipedia.org/wiki/Beta_Israel"
"Eritrea","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Eritrea"
"Eswatini","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Eswatini"
"Gabon","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Gabon"
"Gambia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Gambia"
"Ghana","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Ghana"
"Guinea","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Guinea"
"Guinea-Bissau","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Guinea-Bissau"
"Ivory Coast","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Ivory_Coast"
"Kenya","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Kenya"
"Libya","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Libya"
"Madagascar","https://en.wikipedia.org/wiki/Jews_in_Madagascar"
"Malawi","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Malawi"
"Mali","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Mali"
"Mauritius","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Mauritius"
"Morocco","https://en.wikipedia.org/wiki/History_of_Moroccan_Jews"
"Mozambique","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Mozambique"
"Namibia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Namibia"
"Nigeria","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Nigeria"
"Igbo","https://en.wikipedia.org/wiki/Igbo_Jews"
"Republic of the Congo","https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Republic_of_the_Congo"
"São Tomé and Príncipe","https://en.wikipedia.org/wiki/History_of_the_Jews_in_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe"
"Sierra Leone","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Sierra_Leone"
"Somalia","https://en.wikipedia.org/wiki/History_of_Jews_in_Somalia"
"South Africa","https://en.wikipedia.org/wiki/History_of_the_Jews_in_South_Africa"
"Sudan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Sudan"
"Tanzania","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Tanzania"
"Tunisia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Tunisia"
"Uganda","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Uganda"
"Abayudaya","https://en.wikipedia.org/wiki/Abayudaya"
"Zambia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Zambia"
"Zimbabwe","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Zimbabwe"
"Afghanistan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Afghanistan"
"Bahrain","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Bahrain"
"Cambodia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Cambodia"
"China","https://en.wikipedia.org/wiki/History_of_the_Jews_in_China"
"Hong Kong","https://en.wikipedia.org/wiki/Jews_in_Hong_Kong"
"India","https://en.wikipedia.org/wiki/History_of_the_Jews_in_India"
"Indonesia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Indonesia"
"Iran","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Iran"
"Iraq","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Iraq"
"Israel","https://en.wikipedia.org/wiki/History_of_the_Jews_and_Judaism_in_the_Land_of_Israel"
"Japan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Japan"
"Jordan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Jordan"
"Kazakhstan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Kazakhstan"
"Kurdistan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Kurdistan"
"Kuwait","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Kuwait"
"Kyrgyzstan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Kyrgyzstan"
"Lebanon","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Lebanon"
"Malaysia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Malaysia"
"Mongolia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Mongolia"
"Myanmar","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Myanmar"
"Nepal","https://en.wikipedia.org/wiki/Judaism_in_Nepal"
"Oman","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Oman"
"Pakistan","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Pakistan"
"Philippines","https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Philippines"
"Qatar","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Qatar"
"Saudi Arabia","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Saudi_Arabia"
"South Korea","https://en.wikipedia.org/wiki/History_of_the_Jews_in_South_Korea"
"Singapore","https://en.wikipedia.org/wiki/History_of_the_Jews_in_Singapore"
